"index","short_name","name","position","team","bye_week","injury_text","injury_class","game_status","points","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12"
"160","Z. White","Z. White","RB","LV","8","","injury-status","Final L 10-22 @ LAC","24","65","183","1","6","8","30","-","-","-","-","-"
"161","T. Hockenson","T. Hockenson","TE","MIN","6","","injury-status","Final W 28-6 @ NYG","66","-","-","-","41","62","455","-","-","-","-","-"
"162","B. Irving","B. Irving","RB","TB","9","","injury-status","Final W 37-20 vs WAS","219","207","1122","8","47","52","392","-","-","-","-","-"
"163","New York. Jets","New York. Jets","DEF","NYJ","9","","injury-status","Final L 19-32 @ SF","108","-","-","-","-","-","-","-","-","-","-","-"
"164","J. Brooks","J. Brooks","RB","CAR","14","PUP","injury-status pup","Final L 10-47 @ NO","6","9","22","-","3","3","23","-","-","-","-","-"
"165","J. Palmer","J. Palmer","WR","LAC","12","","injury-status","Final W 22-10 vs LV","88","-","-","-","39","65","584","1","-","-","-","-"
"166","San Francisco. 49ers","San Francisco. 49ers","DEF","SF","14","","injury-status","Final W 32-19 vs NYJ","96","-","-","-","-","-","-","-","-","-","-","-"
"167","T. Benson","T. Benson","RB","ARI","8","","injury-status","Final L 28-34 @ BUF","43","63","291","1","6","6","59","-","-","-","-","-"
"168","J. Tucker","J. Tucker","K","BAL","7","Sus","injury-status sus","Final L 20-27 @ KC","133","-","-","-","-","-","-","-","-","-","-","-"
"169","Pittsburgh. Steelers","Pittsburgh. Steelers","DEF","PIT","5","","injury-status","Final W 18-10 @ ATL","164","-","-","-","-","-","-","-","-","-","-","-"
"170","R. Davis","R. Davis","RB","BUF","7","","injury-status","Final W 34-28 vs ARI","108","113","442","3","17","19","189","3","-","-","-","-"
"171","T. Hill","T. Hill","TE","NO","11","PUP","injury-status pup","Final W 47-10 vs CAR","91","39","278","6","23","31","187","-","2","4","21","-"
"172","E. McPherson","E. McPherson","K","CIN","10","","injury-status","Final L 10-16 vs NE","87","-","-","-","-","-","-","-","-","-","-","-"
"173","Kansas City. Chiefs","Kansas City. Chiefs","DEF","KC","10","","injury-status","Final W 27-20 vs BAL","119","-","-","-","-","-","-","-","-","-","-","-"
"174","Dallas. Cowboys","Dallas. Cowboys","DEF","DAL","10","","injury-status","Final W 33-17 @ CLE","128","-","-","-","-","-","-","-","-","-","-","-"
"175","R. Bateman","R. Bateman","WR","BAL","7","","injury-status","Final L 20-27 @ KC","152","-","-","-","45","72","756","9","-","-","-","-"
"176","Baltimore. Ravens","Baltimore. Ravens","DEF","BAL","7","","injury-status","Final L 20-27 @ KC","132","-","-","-","-","-","-","-","-","-","-","-"
"177","T. Tracy","T. Tracy","RB","NYG","14","","injury-status","Final L 6-28 vs MIN","158","192","839","5","38","53","284","1","-","-","-","-"
"178","D. Douglas","D. Douglas","WR","NE","14","","injury-status","Final W 16-10 @ CIN","114","3","16","-","66","87","621","3","-","-","-","-"
"179","Cleveland. Browns","Cleveland. Browns","DEF","CLE","9","","injury-status","Final L 17-33 vs DAL","92","-","-","-","-","-","-","-","-","-","-","-"
"180","Buffalo. Bills","Buffalo. Bills","DEF","BUF","7","","injury-status","Final W 34-28 vs ARI","149","-","-","-","-","-","-","-","-","-","-","-"
